,btc,eth,ltc,xrp
2018-02-28 10:46:47.856123,8609.09,705.83,170.78,0.73857
2018-02-28 10:46:58.200343,8609.09,705.83,170.66,0.73857
2018-02-28 10:47:08.610737,8626.23,705.9,170.67,0.73857
2018-02-28 10:47:18.824347,8641.22,705.88,170.89,0.73857
2018-02-28 10:47:29.047475,8653.49,705.88,170.89,0.73857
2018-02-28 10:47:39.464299,8654.72,704.58,170.89,0.73857
2018-02-28 10:47:49.781765,8633.11,704.58,170.89,0.73857
2018-02-28 10:48:00.102439,8633.11,704.58,171.04,0.73857
2018-02-28 10:48:10.591163,8632.5,706.9,171.04,0.73857
2018-02-28 10:48:20.929870,8632.7,706.92,171.04,0.73857
2018-02-28 10:48:31.275945,8632.7,706.92,171.04,0.73857
2018-02-28 10:48:41.692062,8632.7,706.92,171.04,0.73857
2018-02-28 10:48:52.024809,8643.4,706.92,171.0,0.7385
2018-02-28 10:49:02.537618,8629.78,706.92,171.0,0.7385
2018-02-28 10:49:12.756626,8653.59,706.92,171.0,0.7385
2018-02-28 10:49:23.060001,8653.59,706.92,171.0,0.7385
2018-02-28 10:49:33.485935,8638.2,706.92,171.03,0.7385
2018-02-28 10:49:43.840970,8641.8,706.92,171.04,0.7385
2018-02-28 10:49:54.172825,8642.81,705.23,171.04,0.7385
2018-02-28 10:50:04.502124,8669.76,705.24,171.04,0.7385
2018-02-28 10:50:14.885158,8669.76,707.94,171.04,0.7385
2018-02-28 10:50:25.086436,8669.76,707.94,171.04,0.7385
2018-02-28 10:50:35.319643,8669.76,707.94,171.25,0.7385
2018-02-28 10:50:45.556461,8638.07,707.94,171.25,0.7385
2018-02-28 10:50:55.787410,8639.0,707.94,171.25,0.73849
2018-02-28 10:51:05.995869,8668.46,707.94,171.25,0.73849
2018-02-28 10:51:16.389722,8668.46,707.94,171.25,0.73849
2018-02-28 10:51:26.688453,8638.07,707.16,171.25,0.73849
2018-02-28 10:51:36.980113,8634.4,707.16,171.47,0.73849
2018-02-28 10:51:47.179767,8634.4,706.75,171.45,0.73849
2018-02-28 10:51:57.763995,8640.05,706.75,171.45,0.73735
2018-02-28 10:52:08.057804,8659.36,705.28,170.87,0.73735
2018-02-28 10:52:18.704634,8662.68,705.28,170.87,0.73735
2018-02-28 10:52:28.912124,8662.0,705.31,171.39,0.73849
2018-02-28 10:52:39.212590,8667.15,705.31,171.39,0.74053
2018-02-28 10:52:49.520753,8644.42,705.31,171.39,0.74053
2018-02-28 10:52:59.828560,8644.42,708.02,171.39,0.74053
2018-02-28 10:53:10.068240,8650.0,708.02,171.49,0.74053
2018-02-28 10:53:20.270941,8650.0,708.02,171.49,0.739
2018-02-28 10:53:30.577498,8662.43,708.02,171.49,0.739
2018-02-28 10:53:40.801594,8662.43,708.02,171.53,0.739
2018-02-28 10:53:51.149817,8650.0,708.02,170.91,0.739
2018-02-28 10:54:01.520740,8659.27,708.02,170.91,0.739
2018-02-28 10:54:11.994122,8659.27,708.02,170.91,0.739
2018-02-28 10:54:22.811508,8659.27,708.02,170.91,0.7405
2018-02-28 10:54:33.286395,8650.0,708.02,171.54,0.7405
2018-02-28 10:54:43.599414,8650.0,708.02,171.55,0.7405
2018-02-28 10:54:53.836420,8661.87,708.02,171.55,0.7405
2018-02-28 10:55:04.040301,8650.0,708.02,171.55,0.739
2018-02-28 10:55:14.337284,8650.0,707.83,171.48,0.739
2018-02-28 10:55:24.774253,8650.0,707.83,171.55,0.739
2018-02-28 10:55:35.257505,8649.13,706.32,171.75,0.7405
2018-02-28 10:55:45.597141,8661.77,706.32,171.73,0.7405
2018-02-28 10:55:55.941346,8661.77,706.32,171.73,0.7405
2018-02-28 10:56:06.285902,8661.9,707.45,171.73,0.7405
2018-02-28 10:56:16.617652,8662.0,707.45,171.73,0.7405
2018-02-28 10:56:27.105086,8662.0,707.45,171.73,0.7405
2018-02-28 10:56:37.504928,8662.0,707.45,171.73,0.7405
2018-02-28 10:56:47.897059,8660.0,707.45,171.73,0.7405
2018-02-28 10:56:58.205012,8660.0,707.45,171.77,0.7405
2018-02-28 10:57:08.690161,8651.35,707.45,171.77,0.7405
2018-02-28 10:57:18.993867,8651.35,707.45,171.77,0.7405
2018-02-28 10:57:29.382094,8654.0,707.45,171.77,0.7405
2018-02-28 10:57:39.700143,8654.0,707.45,171.52,0.739
2018-02-28 10:57:49.978487,8654.0,707.45,171.52,0.739
2018-02-28 10:58:00.428210,8654.0,708.29,171.52,0.739
2018-02-28 10:58:10.839109,8662.0,708.29,171.79,0.738
2018-02-28 10:58:21.326523,8661.82,706.0,171.79,0.738
2018-02-28 10:58:32.105592,8661.82,706.0,171.8,0.738
2018-02-28 10:58:42.436648,8661.82,706.0,171.8,0.738
2018-02-28 10:58:52.746950,8662.0,705.7,171.8,0.738
2018-02-28 10:59:03.033913,8662.0,705.7,171.8,0.738
2018-02-28 10:59:13.460407,8651.21,707.88,171.8,0.738
2018-02-28 10:59:23.960205,8662.0,707.88,171.8,0.738
2018-02-28 10:59:34.418954,8662.0,707.88,171.8,0.738
2018-02-28 10:59:44.732319,8662.0,708.16,171.8,0.738
2018-02-28 10:59:54.970526,8651.8,705.7,171.8,0.738
2018-02-28 11:00:05.435493,8662.0,705.68,171.8,0.738
2018-02-28 11:00:16.028645,8662.0,708.13,171.8,0.73907
2018-02-28 11:00:26.550511,8665.8,708.13,171.8,0.73907
2018-02-28 11:00:36.841029,8664.59,708.13,171.8,0.74014
2018-02-28 11:00:47.053159,8664.49,708.13,171.8,0.74014
2018-02-28 11:00:57.238955,8642.4,708.13,171.8,0.74014
2018-02-28 11:01:07.643605,8642.4,708.13,171.8,0.74014
2018-02-28 11:01:18.018998,8656.5,708.13,171.63,0.7405
2018-02-28 11:01:28.322142,8656.5,708.13,171.64,0.7405
2018-02-28 11:01:38.723848,8656.5,708.14,171.63,0.738
2018-02-28 11:01:49.062546,8656.5,705.23,171.65,0.738
2018-02-28 11:01:59.453368,8642.13,708.0,171.63,0.738
2018-02-28 11:02:09.777770,8642.13,708.1,171.63,0.738
2018-02-28 11:02:20.077159,8657.2,708.1,171.63,0.738
2018-02-28 11:02:30.626953,8657.2,708.1,171.61,0.7381
2018-02-28 11:02:40.901390,8657.2,708.1,171.61,0.7381
2018-02-28 11:02:51.137164,8657.2,705.87,171.61,0.7381
2018-02-28 11:03:01.545476,8657.2,705.87,171.21,0.7381
2018-02-28 11:03:11.751924,8661.2,705.87,171.21,0.7381
2018-02-28 11:03:22.153041,8661.2,705.87,171.21,0.7381
