,strategy,min_gain,pct_gap,period
2018-02-06 06:00:00,-4.497223756901377,0.0025,0.01,H
2018-02-06 07:00:00,7.047043108141466,0.0025,0.01,H
2018-02-06 08:00:00,6.7951668455115595,0.0025,0.01,H
2018-02-06 09:00:00,-3.0057730425838542,0.0025,0.01,H
2018-02-06 10:00:00,-1.5847477361321154,0.0025,0.01,H
2018-02-06 11:00:00,20.309552907535334,0.0025,0.01,H
2018-02-06 12:00:00,2.4594292213628677,0.0025,0.01,H
2018-02-06 13:00:00,-1.8836262634828955,0.0025,0.01,H
2018-02-06 14:00:00,-2.1191917863211955,0.0025,0.01,H
2018-02-06 15:00:00,-5.494927199803598,0.0025,0.01,H
2018-02-06 16:00:00,-5.440556413930835,0.0025,0.01,H
2018-02-06 17:00:00,1.264762988193695,0.0025,0.01,H
2018-02-06 18:00:00,-1.904288719801201,0.0025,0.01,H
2018-02-06 19:00:00,-4.329417675994961,0.0025,0.01,H
2018-02-06 20:00:00,-8.000479476707113,0.0025,0.01,H
2018-02-06 21:00:00,-10.296295386168083,0.0025,0.01,H
2018-02-06 22:00:00,-2.5947433022170117,0.0025,0.01,H
2018-02-06 23:00:00,-6.443554608894928,0.0025,0.01,H
2018-02-07 00:00:00,-8.077269171205444,0.0025,0.01,H
2018-02-07 01:00:00,-8.507596742146234,0.0025,0.01,H
2018-02-07 02:00:00,-7.872250522072406,0.0025,0.01,H
2018-02-07 03:00:00,-3.4139994695534313,0.0025,0.01,H
2018-02-07 04:00:00,-5.191132865618712,0.0025,0.01,H
2018-02-07 05:00:00,-5.336637529863495,0.0025,0.01,H
2018-02-07 06:00:00,-4.992650540360756,0.0025,0.01,H
2018-02-07 07:00:00,-3.046578209050452,0.0025,0.01,H
2018-02-07 08:00:00,-5.618288275144721,0.0025,0.01,H
2018-02-07 09:00:00,-7.787244784579741,0.0025,0.01,H
2018-02-07 10:00:00,-11.361837357472865,0.0025,0.01,H
2018-02-07 11:00:00,-11.067502539522337,0.0025,0.01,H
2018-02-07 12:00:00,-11.541035324997594,0.0025,0.01,H
2018-02-07 13:00:00,-12.392247962031377,0.0025,0.01,H
2018-02-07 14:00:00,-10.790807755501206,0.0025,0.01,H
2018-02-07 15:00:00,-6.925155843372494,0.0025,0.01,H
2018-02-07 16:00:00,-6.558353542906815,0.0025,0.01,H
2018-02-07 17:00:00,-9.320771033648413,0.0025,0.01,H
2018-02-07 18:00:00,-9.495255323827166,0.0025,0.01,H
2018-02-07 19:00:00,-10.337899906549367,0.0025,0.01,H
2018-02-07 20:00:00,-10.425204775189371,0.0025,0.01,H
2018-02-07 21:00:00,-9.623655585912331,0.0025,0.01,H
2018-02-07 22:00:00,-11.267961666789631,0.0025,0.01,H
2018-02-07 23:00:00,0.5461765492525643,0.0025,0.01,H
2018-02-08 00:00:00,-6.574857682878417,0.0025,0.01,H
2018-02-08 01:00:00,-7.575474964624391,0.0025,0.01,H
2018-02-08 02:00:00,-9.566785364566115,0.0025,0.01,H
2018-02-08 03:00:00,-9.63304032350959,0.0025,0.01,H
2018-02-08 04:00:00,-9.741824755661668,0.0025,0.01,H
2018-02-08 05:00:00,-9.612045891357965,0.0025,0.01,H
2018-02-08 06:00:00,-7.5981520567770815,0.0025,0.01,H
2018-02-08 07:00:00,-8.10788484091988,0.0025,0.01,H
2018-02-08 08:00:00,-10.32515413965622,0.0025,0.01,H
2018-02-08 09:00:00,-8.5282707683685,0.0025,0.01,H
2018-02-08 10:00:00,-10.404344480067408,0.0025,0.01,H
2018-02-08 11:00:00,-10.415447691382582,0.0025,0.01,H
2018-02-08 12:00:00,-10.149650490435548,0.0025,0.01,H
2018-02-08 13:00:00,-10.371693983904507,0.0025,0.01,H
2018-02-08 14:00:00,-10.204028615860935,0.0025,0.01,H
2018-02-08 15:00:00,-10.035859892509208,0.0025,0.01,H
2018-02-08 16:00:00,-9.798200965530071,0.0025,0.01,H
2018-02-08 17:00:00,-6.250759712905861,0.0025,0.01,H
2018-02-08 18:00:00,-6.107660610893802,0.0025,0.01,H
2018-02-08 19:00:00,-8.418201114847548,0.0025,0.01,H
2018-02-08 20:00:00,-6.259876867921108,0.0025,0.01,H
2018-02-08 21:00:00,-5.479657562308233,0.0025,0.01,H
2018-02-08 22:00:00,-6.622034032760553,0.0025,0.01,H
2018-02-08 23:00:00,-6.542940651483093,0.0025,0.01,H
2018-02-09 00:00:00,-2.6912109361625483,0.0025,0.01,H
2018-02-09 01:00:00,-2.6090326849638075,0.0025,0.01,H
2018-02-09 02:00:00,-5.586341990174262,0.0025,0.01,H
2018-02-09 03:00:00,-5.514241286980123,0.0025,0.01,H
2018-02-09 04:00:00,-2.4546501562475527,0.0025,0.01,H
2018-02-09 05:00:00,-2.126941010907018,0.0025,0.01,H
2018-02-09 06:00:00,-2.977683551679803,0.0025,0.01,H
2018-02-09 07:00:00,-4.005716212139404,0.0025,0.01,H
